Area,Career Level,Company,Company Website,Date Posted,Date Scraped,Employer Contact Number,Employer Email,Industry,Job Functions,Job Highlights,Job Link,Job Title,Job Type,Qualification,Salary,Search Term,JobtickAnalystjobs,JobtickAvgsalary,JobtickDashboard,JobtickEngineerjobs,jobtickExcel,jobtickPython,JobtickScientistjobs,jobtickSQL,YearsofExperience
Not Specified,Entry,EC Healthcare,Not Specified,22-10-2021,22-10-2021,0,no-email@email.com,Health & Beauty Care,"Information Technology (IT), DBA, E-commerce, Product Management / Business Analyst, Data Scientist","['Develop and built segmentation platform', 'Conduct commercial and financial analysis', 'Ensure a valid data analyzing process']",/hk/en/job/business-analyst-data-analysis-100003008838232,Business Analyst (Data Analysis),"Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,1,0,1,0,1,1,0,1,1
Not Specified,Senior,A4lution Limited,Not Specified,22-10-2021,22-10-2021,['3955 8549'],no-email@email.com,Others,"Information Technology (IT), Data Scientist","['Drive automation of analytical projects', 'Innovate new technology for the company', 'Able to extract, the data into actionable insights']",/hk/en/job/data-analyst-leader-100003008838120,Data Analyst Leader,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,1,1,0,1,31
Not Specified,Entry,now TV,http://www.pccw.com,22-10-2021,22-10-2021,['2827 8322'],no-email@email.com,Telecommunication,"Marketing / Public Relations, Others, Information Technology (IT), Data Scientist","['Interpret & analyze data for campaign evaluation', 'Utilize analytics or machine learning technique', 'Immediately available is highly preferable']",/hk/en/job/data-analyst-campaign-specialist-100003008838088,Data Analyst – Campaign Specialist,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,1,0,0,1,1
Not Specified,Entry,Deloitte Global Services Limited,http://www.deloitte.com,21-10-2021,22-10-2021,0,no-email@email.com,Accounting/Audit/Tax Services,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Others","['data scientist', 'digital', 'tableau']",/hk/en/job/consultant-senior-consultant-data-scientist-digital-hong-kong-100003008830946,Consultant / Senior Consultant - Data Scientist - Digital - Hong Kong,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,1,0,0,1,1,1,2
Not Specified,Entry,Lloyd Karson International Limited,Not Specified,22-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Professional Services, Business Analysis / Data Analysis, Marketing / Public Relations, Others, Information Technology (IT), Data Scientist","['Experience with Python', 'Good Data Analytics experience', 'Exposure to PowerBI is a plus']",/hk/en/job/business-intelligence-assistant-data-analyst-etl-powerbi-python-data-analytics-hkd16k-26k-100003008837642,"Business Intelligence Assistant / Data Analyst (ETL, PowerBI, Python, Data Analytics) (HKD16k – 26k)","Full Time, Permanent",Degree,HK$17K-25K/month,Data Scientist,1,21,1,0,0,1,0,1,1
Not Specified,Entry,Welab Bank Limited,Not Specified,20-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Banking / Finance, Analyst, Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Data Scientist","['Build dashboards and develop insights for business', 'Provide first line support for local data issues', 'Familiar with big data platform']",/hk/en/job/bi-data-analyst-virtual-bank-100003008830788,BI Data Analyst (Virtual Bank),"Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,1,0,0,0,1,1,0,1,1
Not Specified,Entry,Lloyd Karson International Limited,Not Specified,22-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Professional Services, Business Analysis / Data Analysis, Marketing / Public Relations, Others, Information Technology (IT), Data Scientist","['Solid experience in Python', 'Data Analyst experience on CRM is a plus', 'Data Analytics and reporting']",/hk/en/job/data-analyst-crm-data-analytics-business-insight-b2b-python-hkd18k-26k-100003008837589,"Data Analyst – (CRM, Data Analytics, Business Insight (B2B)) (Python) (HKD18k – 26k)","Full Time, Permanent",Degree,HK$20K-30K/month,Data Scientist,1,25,0,0,0,1,0,0,1
Not Specified,Senior,Welab Bank Limited,Not Specified,22-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Banking / Finance, Analyst, Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Data Scientist","['Data modelling, machine learning, deep learning', 'Generate innovative solutions', 'Drive and manage multiple projects']",/hk/en/job/lead-data-scientist-senior-data-scientist-virtual-bank-100003008838170,Lead Data Scientist / Senior Data Scientist (Virtual Bank),"Full Time, Permanent",Not Specified,NotSpecified,Data Scientist,0,0,0,0,1,0,1,1,1
Not Specified,Entry,now TV,http://www.pccw.com,22-10-2021,22-10-2021,['2827 8322'],no-email@email.com,Telecommunication,"Marketing / Public Relations, Others, Information Technology (IT), Data Scientist","['Solid exp in AI capacity & predictive modeling', 'Identifying significant business insights', 'Immediately available is highly preferable']",/hk/en/job/data-analyst-data-modelling-and-customer-analytic-100003008838089,Data Analyst – Data Modelling and Customer Analytic,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,1,0,0,1,2
Not Specified,Middle,High Fashion Group,http://www.highfashion.com.hk,20-10-2021,22-10-2021,0,no-email@email.com,Clothing/Garment/Textile,"Information Technology (IT), Data Scientist","['Proficient in Python/ R, SQL, PowerBI', 'Analyze big data in product design', 'Applies advanced statistical and predictive modeli']",/hk/en/job/data-scientist-100003008829318,Data Scientist,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,1,0,0,1,1,1,5
Not Specified,Senior,Sun Hung Kai Properties Limited,http://www.shkp.com.hk,22-10-2021,22-10-2021,0,no-email@email.com,Property Development,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Product Management / Business Analyst, Data Scientist","['Manage data warehouse & integrate data', 'Organize and prepare business analysis reports', 'Develop Business Intelligence tools']",/hk/en/job/assistant-manager-data-analytics-100003008835633,ASSISTANT MANAGER – DATA ANALYTICS,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,0,0,0,1,7
Not Specified,Entry,Heep Hong Society,http://www.heephong.org,22-10-2021,22-10-2021,0,no-email@email.com,Charity/Social Services/Non-Profit Organisation,"Information Technology (IT), DBA, Product Management / Business Analyst, Data Scientist","['Design, implement, deploy, problem diagnosis', 'Data analytics, user req., solution design', 'Deg. in Comp. Sci, iT/Info system; min. 3-5yrs exp']",/hk/en/job/business-intelligence-data-analyst-100003008834907,Business Intelligence Data Analyst,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,1,1,0,1,3
Not Specified,Entry,Excel Technology International (Hong Kong) Limited,http://www.excel.com.hk,22-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Professional Services, Business Analysis / Data Analysis, Information Technology (IT), DBA, Data Scientist","['Implement BI / data warehouse platform', 'Experience in BI reporting and data analytics', 'Fresh graduates are welcome']",/hk/en/job/bi-specialist-data-analyst-100003008835381,BI Specialist / Data Analyst,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,0,0,1,0,0,0,1
Not Specified,Middle,Convoy Global Holdings Limited,Not Specified,22-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Information Technology (IT), DBA, Product Management / Business Analyst, Data Scientist","['Data Analytics and mining, managerial level', 'Data Architect, business intelligence', 'Knowledge of statistics, database design']",/hk/en/job/senior-data-analyst-100003008837826,Senior Data Analyst,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,1,0,1,0,1,1,0,1,5
Not Specified,Entry,A.S. Watson Retail (HK) Limited,https://www.aswatsoncareers.com/,22-10-2021,22-10-2021,0,no-email@email.com,Wholesale / Retail,"Information Technology (IT), Others, Data Scientist","['Design and implement algorithms and models', 'Best practice in advanced data analytics', 'Enhance data collection procedure']",/hk/en/job/machine-learning-engineer-group-big-data-team-100003008836403,Machine Learning Engineer (Group Big Data team),"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,1,0,1,0,0,2
Not Specified,Entry,DreamsAI Limited,Not Specified,21-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Information Technology (IT), Software Development, Others, Data Scientist","['Open Working Culture', 'Fast-growing AI Company', 'Chance to Big data / AI / sizable database proje']",/hk/en/job/data-scientist-100003008833268,Data Scientist,"Full Time, Permanent",Degree,NotSpecified,Data Scientist,0,0,0,0,0,1,1,0,1
