Area,Career Level,Company,Date Posted,Date Scraped,Employer Contact Number,Employer Email,Industry,Job Type,Job Title,YearsofExperience,Qualification,Salary,Search Term,jobtick_avgsalary,jobtick_Javascript,jobtick_HTML,jobtick_ReactJS,jobtick_engineerjobs,jobtick_developerjobs,jobtick_programmerjobs,Company Website,Job Link,Job Highlights,Job Functions
Not Specified,Entry,Codezlab Technology Limited,22-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Full Stack Developer,1,Not Specified,NotSpecified,Full Stack Developer,0,1,1,0,1,1,0,Not Specified,/hk/en/job/full-stack-developer-100003008834743,"['Full Stack, Frontend, Backend', 'Node.js, Vuejs, HTML5, CSS3, JavaScript', 'Web & Mobile Application']","Information Technology (IT), Application Specialist - Software, Software Development, UI/UX Designer"
Not Specified,Entry,Theta Tech Limited,21-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Full Stack Developer,1,Not Specified,NotSpecified,Full Stack Developer,0,0,0,0,0,1,0,Not Specified,/hk/en/job/full-stack-developer-100003008833312,"['Friendly, open, dynamic and diverse culture', 'NFT, Blockchain', '5days, medical insurance']","Information Technology (IT), Application Specialist - Software"
Not Specified,Middle,Team-C Limited,21-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Full Stack Developer,1,Degree,NotSpecified,Full Stack Developer,0,0,0,1,0,1,0,Not Specified,/hk/en/job/full-stack-developer-100003008831262,"['Application Development Programming', 'Application Design & Implementation', '2 - 4 years Relevant Working Experience']","Information Technology (IT), Software Development"
Not Specified,Middle,Indigo Living Limited,22-10-2021,22-10-2021,0,no-email@email.com,Wholesale / Retail,"Full Time, Permanent",Full-stack Developer (E-Commerce),5,Degree,NotSpecified,Full Stack Developer,0,1,1,0,0,1,0,http://www.indigo-living.com,/hk/en/job/full-stack-developer-e-commerce-100003008834216,"['Shuttle Bus Available, Life & Medical Insurance', '5 working day, Discretionary Bonus, Staff Discount', 'Immediate availability is highly preferred']","Information Technology (IT), Software Development"
Not Specified,Entry,PCCW Media,21-10-2021,22-10-2021,['2827 8322'],no-email@email.com,Telecommunication,"Full Time, Permanent","Full Stack Developer (MOOV), Hong Kong",2,Degree,NotSpecified,Full Stack Developer,0,0,0,0,1,1,0,http://www.pccw.com,/hk/en/job/full-stack-developer-moov-hong-kong-100003008831774,"['Frontend & backend system implementation', 'Full Stack, Microservices, CI/CD, Java, Golang', 'Performance bonus, Medical benefit, 5day work week']","Information Technology (IT), Application Specialist - Software, Software Development, Technical / Functional Consulting"
Not Specified,Entry,One Arrow Consulting Asia Limited,21-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Full Stack Developer - Fastest-Growing Digital Business Solution Firm,1,Not Specified,NotSpecified,Full Stack Developer,0,1,1,0,1,1,0,Not Specified,/hk/en/job/full-stack-developer-fastest-growing-digital-business-solution-firm-100003008832265,"['Strong Market Growth Tech Firms', 'Great Exposure to work with prestigious clients', 'Well-Structured Team and Awesome Teammates']","Information Technology (IT), Application Specialist - Software, Software Development, Network & System"
Not Specified,Middle,Century City Holdings Limited,20-10-2021,22-10-2021,0,no-email@email.com,Mixed Industry Group,"Full Time, Permanent",(Senior) Full Stack Developer (e-Commerce | .NET | Restful APIs),4,Degree,NotSpecified,Full Stack Developer,0,1,1,1,1,1,0,Not Specified,/hk/en/job/senior-full-stack-developer-e-commerce-%7C-net-%7C-restful-apis-100003008828311,"['Web Development, Fluent English', 'Javascript, SQL, React, Multitasker', 'Time Management, E-commerce']","Information Technology (IT), Application Specialist - Software, Software Development, UI/UX Designer"
Not Specified,Entry,Silverhorn Investment Advisors Limited,21-10-2021,22-10-2021,0,no-email@email.com,Financial Services,"Full Time, Permanent",Software Engineer/Full-stack Developer,2,Degree,NotSpecified,Full Stack Developer,0,0,1,1,0,1,0,Not Specified,/hk/en/job/software-engineer-full-stack-developer-100003008830985,"['Competitive package; located in Central 100 QRC', 'Friendly, open, dynamic and diverse culture', 'Entry point to the international finance industry']","Banking / Finance, Others, Information Technology (IT), Application Specialist - Software, Software Development"
Not Specified,Middle,AVA Intelligent Partners Limited,20-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Senior Programmer/ Full Stack Developer,2,Non-Degree Tertiary,NotSpecified,Full Stack Developer,0,0,0,1,0,1,1,Not Specified,/hk/en/job/senior-programmer-full-stack-developer-100003008830170,"['Develop frontend / backend applications', 'Experience in Kubernetes is a plus', 'Friendly and energetic working environment']","Information Technology (IT), Application Specialist - Software, Support, Software Development"
Not Specified,Entry,Shiji Information Technology (Hong Kong) Limited,22-10-2021,22-10-2021,0,no-email@email.com,Information Technology,"Full Time, Permanent",Full Stack Web Developer,2,Degree,NotSpecified,Full Stack Developer,0,0,0,1,0,1,0,http://www.shijigroup.com,/hk/en/job/full-stack-web-developer-100003008837356,"['Bachelor Degree holder in Computer Science', 'Participate in innovative Cloud-based Applications', 'Competitive salary and fringe benefits']","Information Technology (IT), Others"
Not Specified,Entry,Asset Publishing & Research Limited,20-10-2021,22-10-2021,0,no-email@email.com,Media/Publishing/Printing,"Full Time, Permanent",Full Stack Developer,1,Not Specified,NotSpecified,Full Stack Developer,0,1,1,1,1,1,0,Not Specified,/hk/en/job/full-stack-developer-100003008827637,"['full-stack software development experience', 'good communication skill in English', 'team work spirit']","Information Technology (IT), Application Specialist - Software"
Not Specified,Entry,Asia Satellite Telecommunications Co Limited,21-10-2021,22-10-2021,0,no-email@email.com,Telecommunication,"Full Time, Permanent",Full Stack Software Developer,1,Not Specified,NotSpecified,Full Stack Developer,0,1,0,0,0,1,0,http://www.asiasat.com,/hk/en/job/full-stack-software-developer-100003008830977,"['Software Development with cutting-edge technolog', 'Career growth', '5-day Work']","Information Technology (IT), Software Development"
Not Specified,Senior,Links International,21-10-2021,22-10-2021,0,no-email@email.com,Human Resources Management/Consultancy,"Full Time, Permanent",Java Full Stack Developer (Leading IT Consulting Firm ),2,Degree,NotSpecified,Full Stack Developer,0,1,1,1,1,1,0,http://www.linksinternational.com/,/hk/en/job/java-full-stack-developer-leading-it-consulting-firm-100003008831469,"['Leading IT Consulting Firm', 'solid in Java/J2EE', 'Java Full Stack Developer']","Information Technology (IT), Software Development"
