Area,Career Level,Company,Company Website,Date Posted,Date Scraped,Employer Contact Number,Employer Email,Industry,Job Functions,Job Highlights,Job Title,Job Type,Qualification,Salary,Search Term,JobtickAvgsalary,Jobtick Productjobs,JobtickPrototyping,JobtickResearch,JobtickUiuxjobs,JobtickWebmobileappjobs,JobtickWireframing,JobtickWriting,YearsofExperience
Not Specified,Entry,Talent Fields Hong Kong Company Limited,Not Specified,2021-10-22,2021-10-22,0,no-email@email.com,Human Resources Management/Consultancy,"Information Technology (IT), UI/UX Designer","['2 - 3 years of work related experience in UXUI', 'Refine UI pattern libraries and design guidelines', 'MNC culture']",Junior UI & Web Designer - up to 30 - 38k MNC,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,0,0,1,0,0,0,1
Not Specified,Middle,Marvelconnect Technology Limited,Not Specified,2021-10-22,2021-10-22,0,no-email@email.com,Information Technology,"Information Technology (IT), Application Specialist - Software, IT Management, UI/UX Designer","['5 days work', 'Year end bonus', 'Medical Insurance']",UI Designer,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,0,0,1,0,0,0,21
Not Specified,Entry,Arch Partnership Limited,https://www.arch-partnership.com/,2021-10-22,2021-10-22,0,no-email@email.com,Information Technology,"Information Technology (IT), Software Development, Others, UI/UX Designer","['Figma, InVision, Zeplin, Adobe XD', 'Young & energetic company, fun to work with, 5 day', 'HCI Design/Interaction Design/Software Engineering']",UX/UI Designer,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,2
Not Specified,Entry,PCCW Solutions,http://www.pccwsolutions.com,2021-10-22,2021-10-22,0,no-email@email.com,Information Technology,"Design, Industrial / Product, Web Designer, Information Technology (IT), Others","['UI/Web Designer', ""3 years' experience as a UI/UX designer"", 'Candidate with less experience will be considered as Junior UI/Web designer']",UI/Web Designer,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,1,1,1,1,0,2
Not Specified,Entry,Hutchison Telecommunications (Hong Kong) Limited,Not Specified,2021-10-22,2021-10-22,0,no-email@email.com,Telecommunication,"Design, Graphics, Web Designer, Information Technology (IT), UI/UX Designer","['Identify design problems and develop solutions', 'Design and deliver wireframes and user stories etc', 'Experience in UI/UX design field']",Senior UI/UX Designer,"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,0,0,1,0,1,0,3
Not Specified,Entry,Green Tomato Limited,http://www.gtomato.com,2021-10-22,2021-10-22,0,no-email@email.com,Telecommunication,"Design, Graphics, Web Designer, Information Technology (IT), UI/UX Designer","['Mobile Application or Web UI/UX Design', 'Birthday Leave', 'Happy and harmonious working environment']",Senior UI/UX Designer,"Full Time, Permanent",Matriculated,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,2
Not Specified,Middle,Next Sourcing Limited,http://www.next.co.uk,2021-10-21,2021-10-22,0,no-email@email.com,Clothing/Garment/Textile,"Information Technology (IT), Others, UI/UX Designer","['Minimum of 5 years UI/UX design experience', 'UI/UX design work for both web and mobile platform', '5 days work week']",UX/UI Designer,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,1
Not Specified,Entry,Recruit Express (Hong Kong) Limited,http://www.recruitexpress.com.hk,2021-10-21,2021-10-22,"['2175 0698', '9522 5779']",['christy.so @recruitexpress.com.hk'],Human Resources Management/Consultancy,"Design, Web Designer, Information Technology (IT), Others, UI/UX Designer","['Fast Growing Company / Attractive working culture', 'Flexible working hours / welcome 1-3 years exp', 'Become part of our talented and core team members']",UI UX Designer,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,0,1,0,1,0,1
Not Specified,Entry,Nesta (Hong Kong) Limited,Not Specified,2021-10-21,2021-10-22,0,no-email@email.com,Human Resources Management/Consultancy,"Design, Graphics, Web Designer, Information Technology (IT), UI/UX Designer","['Great Career Exposure and Development', 'Welcome Fresh Grad', 'Web & Mobile Apps Development']",UI/UX Designer ( Digital Media - Web & Mobile Apps ) Welcome Fresh Grad,"Full Time, Permanent",Degree,HK$17K-25K/month,UI UX Designer,21,0,1,0,1,1,0,0,3
Not Specified,Middle,Theta Tech Limited,Not Specified,2021-10-21,2021-10-22,0,no-email@email.com,Information Technology,"Information Technology (IT), UI/UX Designer","['5days work, medical insurance', 'Fast growing start-up, dynamic work culture', 'Fintech ,NFT, blockchain']",UI/UX Designer,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,3
Not Specified,Entry,Anywhere Everywhere Six Degrees Link Limited,Not Specified,2021-10-19,2021-10-22,0,no-email@email.com,Human Resources Management/Consultancy,"Design, Graphics, Information Technology (IT), UI/UX Designer","['Work Life Balance', 'Chance to communicate to the clients directly', 'Adobe Xd / Sketch']",UI/UX Designer,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,0,1,0,1,0,1
Not Specified,Entry,HKT,http://www.pccw.com,2021-10-20,2021-10-22,0,no-email@email.com,Telecommunication,"Information Technology (IT), Application Specialist - Software, Software Development","['UX/UI', 'Adobe Creative Cloud, Sketch or wireframing tools', 'Multimedia / Interactive / Human-Computer Interaction / Design']",UX/UI Designer,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,1,1,0,1,0,1
Not Specified,Senior,M800 Limited,https://www.maaiiconnect.com/,2021-10-21,2021-10-22,0,no-email@email.com,Telecommunication,"Design, Industrial / Product, Information Technology (IT), Mobile / Wireless Communications, UI/UX Designer","['UX/UI design on website, mobile app and materials', 'Graphical sense of website and mobile interface', 'Experience in B2B Mobile / Website UX/UI design']",Senior UX/UI Designer,"Full Time, Permanent",Not Specified,NotSpecified,UI UX Designer,0,0,1,0,1,0,1,0,1
Not Specified,Entry,Automated Systems (HK) Limited,http://www.asl.com.hk,2021-10-21,2021-10-22,0,no-email@email.com,Information Technology,"Design, Multi-media, Information Technology (IT), Software Development, UI/UX Designer","['There are opportunities for your career promotion', 'Have opportunities to try different projects', 'Become part of our talented and core team members']",UX/UI Designer / Senior UX/UI Designer,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,1,1,0,0,0,2
Not Specified,Entry,Sing Tao Management Services Limited,Not Specified,2021-10-19,2021-10-22,0,no-email@email.com,Media/Publishing/Printing,"Information Technology (IT), Others, UI/UX Designer","['Create original graphic designs', 'Identify and troubleshoot UX problems', '2+ years of experience as a UI/UX Designer']",UI-UX Designer (New Media Business),"Full Time, Permanent",Non-Degree Tertiary,NotSpecified,UI UX Designer,0,0,1,0,1,0,0,0,1
Not Specified,Entry,A.S. Watson Retail (HK) Limited,https://www.aswatsoncareers.com/,2021-10-22,2021-10-22,0,no-email@email.com,Wholesale / Retail,"Design, Web Designer, E-commerce, Marketing - Brand / Product Management, Information Technology (IT), UI/UX Designer","['3 years in relevant experience', 'Hands-on and proven experiences in UX & UI design', 'Have O2O commerce experience']",(Senior) UX & Design Specialist,"Full Time, Permanent",Degree,NotSpecified,UI UX Designer,0,0,1,0,1,0,1,0,3
